t = 2016-06-25 17:30:16.500679, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 40, 10), mag = (23.92, 84.64, -536.36), heading = -10, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.518528, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 41, 9), mag = (23.92, 84.64, -536.36), heading = -11, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.535980, accel = (0.015625, 0.0625, 0.8359375), gyro = (40, 42, 10), mag = (23.0, 84.64, -538.2), heading = -11, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.552882, accel = (0.015625, 0.05859375, 0.8359375), gyro = (41, 39, 10), mag = (23.0, 84.64, -538.2), heading = -11, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.570267, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 41, 9), mag = (23.0, 84.64, -538.2), heading = -12, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.588344, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 41, 9), mag = (23.0, 84.64, -538.2), heading = -12, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.605869, accel = (0.0234375, 0.0625, 0.83984375), gyro = (41, 40, 9), mag = (23.92, 84.64, -537.28), heading = -13, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.623387, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 40, 12), mag = (23.92, 84.64, -537.28), heading = -13, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.640608, accel = (0.015625, 0.0625, 0.83984375), gyro = (40, 41, 8), mag = (23.92, 84.64, -537.28), heading = -14, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.657669, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 42, 9), mag = (23.92, 84.64, -537.28), heading = -14, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.672972, accel = (0.01953125, 0.0625, 0.8359375), gyro = (40, 41, 9), mag = (24.84, 86.48, -530.84), heading = -14, pitch = -5, roll = -9
t = 2016-06-25 17:30:16.692994, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 40, 12), mag = (24.84, 86.48, -530.84), heading = -15, pitch = -5, roll = -9
t = 2016-06-25 17:30:16.709838, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 40, 10), mag = (24.84, 86.48, -530.84), heading = -15, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.726982, accel = (0.0234375, 0.0625, 0.8359375), gyro = (40, 42, 10), mag = (24.84, 86.48, -530.84), heading = -16, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.744698, accel = (0.015625, 0.06640625, 0.828125), gyro = (42, 41, 10), mag = (23.0, 86.48, -537.28), heading = -16, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.761671, accel = (0.01953125, 0.0625, 0.8359375), gyro = (40, 40, 10), mag = (23.0, 86.48, -537.28), heading = -17, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.777358, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 40, 9), mag = (23.0, 86.48, -537.28), heading = -17, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.796898, accel = (0.01953125, 0.0625, 0.8359375), gyro = (39, 40, 10), mag = (23.0, 86.48, -537.28), heading = -17, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.814327, accel = (0.0234375, 0.0625, 0.8359375), gyro = (41, 40, 10), mag = (23.92, 83.72, -539.12), heading = -18, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.831430, accel = (0.01953125, 0.0625, 0.83984375), gyro = (42, 40, 9), mag = (23.92, 83.72, -539.12), heading = -18, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.848538, accel = (0.0234375, 0.0625, 0.8359375), gyro = (41, 41, 10), mag = (23.92, 83.72, -539.12), heading = -19, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.866316, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 41, 10), mag = (23.92, 83.72, -539.12), heading = -19, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.881671, accel = (0.01953125, 0.06640625, 0.8359375), gyro = (40, 39, 10), mag = (22.08, 86.48, -532.68), heading = -20, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.900699, accel = (0.01953125, 0.0625, 0.83984375), gyro = (42, 41, 10), mag = (22.08, 86.48, -532.68), heading = -20, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.917966, accel = (0.0234375, 0.0625, 0.83203125), gyro = (40, 42, 9), mag = (22.08, 86.48, -532.68), heading = -21, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.935384, accel = (0.01953125, 0.05859375, 0.83984375), gyro = (41, 41, 9), mag = (22.08, 86.48, -532.68), heading = -21, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.951670, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 40, 10), mag = (22.08, 85.56, -531.76), heading = -21, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.970347, accel = (0.015625, 0.0625, 0.8359375), gyro = (40, 40, 10), mag = (22.08, 85.56, -531.76), heading = -22, pitch = -6, roll = -9
t = 2016-06-25 17:30:16.988342, accel = (0.02734375, 0.05859375, 0.83203125), gyro = (42, 41, 10), mag = (22.08, 85.56, -531.76), heading = -22, pitch = -6, roll = -9
t = 2016-06-25 17:30:17.005568, accel = (0.01171875, 0.0625, 0.8359375), gyro = (40, 39, 10), mag = (23.0, 87.4, -539.12), heading = -23, pitch = -6, roll = -9
t = 2016-06-25 17:30:17.022726, accel = (0.015625, 0.0625, 0.83984375), gyro = (40, 40, 10), mag = (23.0, 87.4, -539.12), heading = -23, pitch = -6, roll = -9
t = 2016-06-25 17:30:17.039880, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 42, 10), mag = (23.0, 87.4, -539.12), heading = -24, pitch = -6, roll = -8
t = 2016-06-25 17:30:17.056756, accel = (0.015625, 0.06640625, 0.83203125), gyro = (40, 42, 10), mag = (23.0, 87.4, -539.12), heading = -24, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.073370, accel = (0.01953125, 0.0625, 0.83984375), gyro = (40, 42, 9), mag = (22.08, 86.48, -538.2), heading = -25, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.093165, accel = (0.01953125, 0.05859375, 0.83984375), gyro = (42, 41, 10), mag = (22.08, 86.48, -538.2), heading = -25, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.110374, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 40, 12), mag = (22.08, 86.48, -538.2), heading = -25, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.127429, accel = (0.015625, 0.0625, 0.83984375), gyro = (41, 40, 8), mag = (22.08, 86.48, -538.2), heading = -26, pitch = -5, roll = -8
heading = -26°, pitch = -5°, roll = -8°, t = 19ms, f = 52Hz
t = 2016-06-25 17:30:17.151870, accel = (0.01953125, 0.0625, 0.83203125), gyro = (42, 40, 10), mag = (25.76, 83.72, -537.28), heading = -26, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.170113, accel = (0.01953125, 0.0625, 0.84375), gyro = (41, 41, 9), mag = (25.76, 83.72, -537.28), heading = -27, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.188171, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (42, 43, 8), mag = (25.76, 83.72, -537.28), heading = -27, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.205310, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 41, 9), mag = (25.76, 83.72, -537.28), heading = -28, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.222192, accel = (0.0234375, 0.0625, 0.83203125), gyro = (41, 40, 9), mag = (24.84, 86.48, -539.12), heading = -28, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.240024, accel = (0.0234375, 0.0625, 0.8359375), gyro = (42, 40, 10), mag = (24.84, 86.48, -539.12), heading = -29, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.257088, accel = (0.015625, 0.06640625, 0.83984375), gyro = (40, 41, 9), mag = (24.84, 86.48, -539.12), heading = -29, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.274851, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 41, 9), mag = (24.84, 86.48, -539.12), heading = -29, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.292351, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 42, 10), mag = (23.92, 88.32, -538.2), heading = -30, pitch = -5, roll = -8
t = 2016-06-25 17:30:17.309534, accel = (0.015625, 0.0625, 0.8359375), gyro = (40, 41, 10), mag = (23.92, 88.32, -538.2), heading = -30, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.326668, accel = (0.0234375, 0.05859375, 0.8359375), gyro = (41, 40, 9), mag = (23.92, 88.32, -538.2), heading = -31, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.344291, accel = (0.01953125, 0.0625, 0.8359375), gyro = (42, 39, 10), mag = (23.92, 88.32, -538.2), heading = -31, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.359489, accel = (0.015625, 0.0625, 0.8359375), gyro = (41, 41, 9), mag = (23.0, 85.56, -540.96), heading = -31, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.378817, accel = (0.01953125, 0.0625, 0.8359375), gyro = (40, 40, 10), mag = (23.0, 85.56, -540.96), heading = -32, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.396662, accel = (0.01953125, 0.05859375, 0.83984375), gyro = (41, 40, 9), mag = (23.0, 85.56, -540.96), heading = -32, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.413917, accel = (0.01953125, 0.06640625, 0.8359375), gyro = (42, 41, 8), mag = (23.0, 85.56, -540.96), heading = -33, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.430672, accel = (0.01953125, 0.06640625, 0.83984375), gyro = (41, 40, 10), mag = (23.92, 85.56, -536.36), heading = -33, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.447823, accel = (0.0234375, 0.0625, 0.83984375), gyro = (41, 40, 11), mag = (23.92, 85.56, -536.36), heading = -33, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.465431, accel = (0.0234375, 0.0625, 0.8359375), gyro = (42, 41, 9), mag = (23.92, 85.56, -536.36), heading = -34, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.482661, accel = (0.01953125, 0.0625, 0.8359375), gyro = (40, 41, 9), mag = (23.0, 90.16, -538.2), heading = -34, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.500518, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 41, 9), mag = (23.0, 90.16, -538.2), heading = -35, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.518282, accel = (0.0234375, 0.0625, 0.83984375), gyro = (41, 39, 11), mag = (23.0, 90.16, -538.2), heading = -35, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.535542, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 40, 9), mag = (23.0, 90.16, -538.2), heading = -35, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.552765, accel = (0.015625, 0.0625, 0.83984375), gyro = (41, 40, 11), mag = (21.16, 89.24, -533.6), heading = -36, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.570206, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 40, 11), mag = (21.16, 89.24, -533.6), heading = -36, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.585194, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 40, 9), mag = (21.16, 89.24, -533.6), heading = -36, pitch = -5, roll = -7
t = 2016-06-25 17:30:17.604717, accel = (0.01953125, 0.0625, 0.83984375), gyro = (41, 41, 9), mag = (21.16, 89.24, -533.6), heading = -37, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.621217, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 41, 9), mag = (21.16, 85.56, -537.28), heading = -37, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.638351, accel = (0.01953125, 0.05859375, 0.83203125), gyro = (41, 41, 9), mag = (21.16, 85.56, -537.28), heading = -37, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.656124, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 40, 8), mag = (21.16, 85.56, -537.28), heading = -38, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.673354, accel = (0.015625, 0.0625, 0.8359375), gyro = (41, 40, 10), mag = (21.16, 85.56, -537.28), heading = -38, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.688526, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (40, 40, 10), mag = (23.92, 90.16, -536.36), heading = -39, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.708848, accel = (0.01953125, 0.0625, 0.83984375), gyro = (40, 41, 11), mag = (23.92, 90.16, -536.36), heading = -39, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.726203, accel = (0.01953125, 0.0625, 0.8359375), gyro = (40, 40, 9), mag = (23.92, 90.16, -536.36), heading = -39, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.743159, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 41, 9), mag = (23.92, 90.16, -536.36), heading = -40, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.760332, accel = (0.0234375, 0.05859375, 0.84375), gyro = (41, 40, 10), mag = (22.08, 87.4, -537.28), heading = -40, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.777972, accel = (0.01953125, 0.0625, 0.83203125), gyro = (41, 40, 9), mag = (22.08, 87.4, -537.28), heading = -40, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.795371, accel = (0.0234375, 0.0625, 0.83984375), gyro = (42, 42, 10), mag = (22.08, 87.4, -537.28), heading = -41, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.812889, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 40, 11), mag = (22.08, 87.4, -537.28), heading = -41, pitch = -5, roll = -6
